run_id,run_label,method_family,model_variant,prompting,failure_type,count,share_of_failures,share_of_all
baseline_k0,Base | k=0,baseline,base,k=0,join_path,27,0.2621359223300971,0.135
baseline_k0,Base | k=0,baseline,base,k=0,invalid_sql,25,0.24271844660194175,0.125
baseline_k0,Base | k=0,baseline,base,k=0,projection,24,0.23300970873786409,0.12
baseline_k0,Base | k=0,baseline,base,k=0,other_semantic,11,0.10679611650485436,0.055
baseline_k0,Base | k=0,baseline,base,k=0,aggregation,10,0.0970873786407767,0.05
baseline_k0,Base | k=0,baseline,base,k=0,value_linking,6,0.05825242718446602,0.03
baseline_k3,Base | k=3,baseline,base,k=3,projection,25,0.32051282051282054,0.125
baseline_k3,Base | k=3,baseline,base,k=3,invalid_sql,21,0.2692307692307692,0.105
baseline_k3,Base | k=3,baseline,base,k=3,other_semantic,11,0.14102564102564102,0.055
baseline_k3,Base | k=3,baseline,base,k=3,value_linking,10,0.1282051282051282,0.05
baseline_k3,Base | k=3,baseline,base,k=3,join_path,6,0.07692307692307693,0.03
baseline_k3,Base | k=3,baseline,base,k=3,aggregation,5,0.0641025641025641,0.025
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,projection,54,0.4954128440366973,0.27
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,invalid_sql,27,0.24770642201834864,0.135
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,other_semantic,9,0.08256880733944955,0.045
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,value_linking,8,0.07339449541284404,0.04
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,aggregation,7,0.06422018348623854,0.035
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,join_path,4,0.03669724770642202,0.02
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,projection,40,0.4444444444444444,0.2
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,invalid_sql,26,0.28888888888888886,0.13
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,value_linking,9,0.1,0.045
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,other_semantic,8,0.08888888888888889,0.04
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,aggregation,4,0.044444444444444446,0.02
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,join_path,3,0.03333333333333333,0.015
react_exec,ReAct infra,agent_infra,unspecified,n/a,projection,5,0.5555555555555556,0.25
react_exec,ReAct infra,agent_infra,unspecified,n/a,join_path,2,0.2222222222222222,0.1
react_exec,ReAct infra,agent_infra,unspecified,n/a,invalid_sql,1,0.1111111111111111,0.05
react_exec,ReAct infra,agent_infra,unspecified,n/a,other_semantic,1,0.1111111111111111,0.05
