run_id,run_label,method_family,model_variant,prompting,k,run_type,n,em,ex,ts,va,va_pct,em_pct,ex_pct,ts_pct
baseline_k0,Base | k=0,baseline,base,k=0,0.0,direct,200,0.0,0.485,,0.875,87.5,0.0,48.5,
baseline_k3,Base | k=3,baseline,base,k=3,3.0,direct,200,0.355,0.61,,0.895,89.5,35.5,61.0,
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,model_family,llama3_8b_instruct,k=0,0.0,direct,200,0.0,0.485,,0.875,87.5,0.0,48.5,
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,model_family,llama3_8b_instruct,k=3,3.0,direct,200,0.355,0.61,,0.895,89.5,35.5,61.0,
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200,0.025,0.495,,0.855,85.5,2.5,49.5,
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200,0.34,0.585,,0.885,88.5,34.0,58.5,
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,model_family,qwen2_5_7b_instruct,k=5,5.0,direct,200,0.4,0.65,,0.895,89.5,40.0,65.0,
qlora_k0,QLoRA | k=0,qlora,qlora,k=0,0.0,direct,200,0.03,0.455,,0.865,86.5,3.0,45.5,
qlora_k3,QLoRA | k=3,qlora,qlora,k=3,3.0,direct,200,0.35,0.55,,0.87,87.0,35.0,55.00000000000001,
qlorafam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | QLoRA | k=0,qlora_model_family,qwen2_5_7b_instruct,k=0,0.0,direct,200,0.065,0.575,,0.905,90.5,6.5,57.49999999999999,
qlorafam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | QLoRA | k=3,qlora_model_family,qwen2_5_7b_instruct,k=3,3.0,direct,200,0.255,0.51,0.532608695652174,0.92,92.0,25.5,51.0,53.2608695652174
qlorafam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | QLoRA | k=5,qlora_model_family,qwen2_5_7b_instruct,k=5,5.0,direct,200,0.29,0.475,,0.83,83.0,28.999999999999996,47.5,
react_exec,ReAct infra,agent_infra,unspecified,n/a,,agent,20,0.35,0.55,0.5789473684210527,0.95,95.0,35.0,55.00000000000001,57.89473684210527
