run_id,run_label,method_family,model_variant,prompting,k,run_type,source_path,timestamp,model_id,notebook,example_id,nlq,gold_sql,pred_sql,va,em,ex,ts,error
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,0,List all product lines.,SELECT productLine FROM productlines;,"SELECT DISTINCT productLine
FROM products;",1.0,0.0,1.0,,
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,1,"Show product names, codes, and MSRPs.","SELECT productName, productCode, MSRP FROM products;","SELECT p.productName, p.productCode, p.MSRP
FROM products p;",1.0,0.0,1.0,,
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,2,Which customers are in the USA?,SELECT customerName FROM customers WHERE country = 'USA';,"SELECT DISTINCT c.customerNumber, c.customerName
FROM customers c
WHERE c.country = 'USA';",1.0,0.0,0.0,,Column mismatch
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,3,Count employees in the San Francisco office.,SELECT COUNT(*) AS employee_count FROM employees e JOIN offices o ON e.officeCode = o.officeCode WHERE o.city = 'San Francisco';,"SELECT COUNT(e.employeeNumber)
FROM employees e
JOIN offices o ON e.officeCode = o.officeCode
WHERE o.city = 'San Francisco';",1.0,0.0,0.0,,Column mismatch
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,4,Total amount per order number.,"SELECT orderNumber, SUM(quantityOrdered * priceEach) AS total_amount FROM orderdetails GROUP BY orderNumber;","SELECT 
  o.orderNumber, 
  SUM(p.amount) AS total_amount
FROM 
  payments p
  JOIN orders o ON p.customerNumber = o.customerNumber
GROUP BY 
  o.orderNumber
ORDER BY 
  total_amount DESC
LIMIT 10;",1.0,0.0,0.0,,
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,5,Customers with credit limits over 100000.,SELECT customerName FROM customers WHERE creditLimit > 100000;,"SELECT c.customerNumber, c.customerName, c.creditLimit
FROM customers c
WHERE c.creditLimit > 100000;",1.0,0.0,0.0,,Column mismatch
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,6,List all offices with city and country.,"SELECT city, country FROM offices;","SELECT o.officeCode, o.addressLine1, o.city, o.country
FROM offices o;",1.0,0.0,0.0,,Column mismatch
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,7,Payments made by customer 103.,"SELECT checkNumber, paymentDate, amount FROM payments WHERE customerNumber = 103;","SELECT p.customerNumber, p.checkNumber, p.paymentDate, p.amount
FROM payments p
WHERE p.customerNumber = 103;",1.0,0.0,0.0,,Column mismatch
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,8,Names and vendors for products in the Classic Cars line.,"SELECT productName, productVendor FROM products WHERE productLine = 'Classic Cars';","SELECT p.productName, p.productVendor
FROM products p
JOIN productlines pl ON p.productLine = pl.productLine
WHERE pl.textDescription LIKE '%Classic Cars%';",1.0,0.0,0.0,,
baseline_k0,Base | k=0,baseline,base,k=0,0,direct,results/results_zero_shot_200.json,2026-01-07T09:58:29.872473Z,meta-llama/Meta-Llama-3-8B-Instruct,02_baseline_prompting_eval.ipynb,9,How many orders are shipped?,SELECT COUNT(*) AS shipped_orders FROM orders WHERE status = 'Shipped';,"SELECT COUNT(*)
FROM orders
WHERE shippedDate IS NOT NULL;",1.0,0.0,0.0,,Column mismatch
