comparison,left_condition_id,right_condition_id,metric,pair_key,matched_seeds,n_pairs,left_mean,right_mean,mean_diff_right_minus_left,ci_95_lower,ci_95_upper,cohens_d,diff_shapiro_w,diff_shapiro_p,diff_shapiro_decision_alpha_0_05,wilcoxon_stat,wilcoxon_p,wilcoxon_decision_alpha_0_05,wilcoxon_p_bh_fdr,wilcoxon_decision_bh_fdr_alpha_0_05,t_stat,p_value,decision_alpha_0_05
Llama Base k0->k3,llama_base_k0,llama_base_k3,em,seed+example_id,"7,17,27",600,0.005,0.29833333333333334,0.29333333333333333,0.256216161771231,0.33045050489543565,0.6336324631237985,0.5926723828897345,3.431111881717438e-35,reject_normality,181.0,2.5879043141030215e-39,reject_H0,1.0351617256412087e-38,reject_H0,15.520762191161845,6.55478845835375e-46,reject_H0
Llama Base k0->k3,llama_base_k0,llama_base_k3,ex,seed+example_id,"7,17,27",600,0.41,0.5166666666666667,0.10666666666666674,0.07643310674464988,0.13690022658868362,0.2828722290635307,0.5009517292433389,6.795659573797921e-38,reject_normality,651.0,2.5154848420087912e-11,reject_H0,1.5092909052052749e-10,reject_H0,6.928926236093317,1.098324854988227e-11,reject_H0
Llama Base k0->k3,llama_base_k0,llama_base_k3,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Llama Base k0->k3,llama_base_k0,llama_base_k3,va,seed+example_id,"7,17,27",600,0.765,0.87,0.10499999999999998,0.07490668074273327,0.1350933192572667,0.2797499920771974,0.4985128642774955,5.835191334733213e-38,reject_normality,644.0,3.996845787411088e-11,reject_H0,4.796214944893305e-10,reject_H0,6.852447361367704,1.807476866771977e-11,reject_H0
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,em,seed+example_id,"7,17,27",600,0.005,0.0,-0.005,-0.010659911401300893,0.0006599114013008936,-0.07082902243261917,0.04267918368418977,2.8525028322474693e-47,reject_normality,0.0,0.08326451666355039,fail_to_reject_H0,0.09083401817841862,fail_to_reject_H0,-1.7349496394006025,0.08326408623524083,fail_to_reject_H0
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,ex,seed+example_id,"7,17,27",600,0.41,0.44,0.030000000000000027,0.006047439687472098,0.05395256031252796,0.10041999344839206,0.39304077974915264,1.3414085830095926e-40,reject_normality,495.0,0.014305878435429647,reject_H0,0.017167054122515575,reject_H0,2.459777439221901,0.014183714999218748,reject_H0
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,ts,seed+example_id,"7,17,27",0,,,,,,,,,insufficient_n,,,insufficient_n,,fail_to_reject_H0,,,insufficient_n
Llama Base->QLoRA @k0,llama_base_k0,llama_qlora_k0,va,seed+example_id,"7,17,27",600,0.765,0.815,0.04999999999999993,0.026263476211905116,0.07373652378809475,0.16888993316302028,0.3813723985960381,7.232443461218544e-41,reject_normality,330.0,4.4557090604056044e-05,reject_H0,0.0001069370174497345,reject_H0,4.136941589421553,4.023419923757329e-05,reject_H0
Llama Base->QLoRA @k3,llama_base_k3,llama_qlora_k3,em,seed+example_id,"7,17,27",600,0.29833333333333334,0.285,-0.013333333333333364,-0.04187236801206855,0.01520570134540182,-0.03745849581082334,0.4866306942980033,2.8011630766814014e-38,reject_normality,1309.0,0.3587953578869416,fail_to_reject_H0,0.3587953578869416,fail_to_reject_H0,-0.9175420126869821,0.3592279703348268,fail_to_reject_H0
Llama Base->QLoRA @k3,llama_base_k3,llama_qlora_k3,ex,seed+example_id,"7,17,27",600,0.5166666666666667,0.465,-0.051666666666666694,-0.08158353644023893,-0.021749796893094458,-0.1384666447832366,0.5087472543991278,1.1105419838637916e-37,reject_normality,1161.0,0.0007726192330658186,reject_H0,0.0010301589774210913,reject_H0,-3.3917262611413963,0.0007402984973251005,reject_H0
